SELECT DISTINCT 
Schedule.ScheduleName,


       VisualWorkflow.VisualWorkflowName
FROM (IVMConfig.ivm.ScheduleAction ScheduleAction
      INNER JOIN IVMConfig.ivm.Schedule Schedule
         ON (ScheduleAction.ScheduleId = Schedule.ScheduleId))
     INNER JOIN IVMConfig.ivm.VisualWorkflow VisualWorkflow
        ON (ScheduleAction.ItemId = VisualWorkflow.VisualWorkflowId)
WHERE (ScheduleAction.ScheduleActionType = 0) and Schedule.IsActive = 1

"ScheduleName","VisualWorkflowName"
"Admin: Create Commingled Battery","APC Commingle Initial Creation"
"Admin: Create Commingled Battery","APC Commingle Real Time Creation"
"Admin: Create Commingled Battery","APC Find Fully Commingled Batteries"
"Admin: Data_Backfill_Flags","APC_Data_Backfill_Flags"
"Admin: Facility Identification","FacilityIdentification"
"Admin: IPM Model Adder/Builder","Petroleum Experts IVM Model Well Adder - Prepare"
"Admin: IPM Model Adder/Builder","Petroleum Experts IVM Model Well Adder - Run"
"Admin: IPM Model Adder/Builder","Petroleum Experts IVM Model Well Builder - Run"
"Admin: IPM Model Data Validator","Deviation Survey Error"
"Admin: IPM Model Data Validator","Petroleum Experts Input for Workflows - WELL "
"Admin: IPM Model Data Validator","Petroleum Experts IVM Well Adder Data Validator"
"Admin: IPM Model Data Validator","Petroleum Experts IVM Well Builder Data Validator"
"Admin: IPM Model Data Validator","Petroleum Experts PVT Report Recommendation Workflow"
"Admin: IVM Statistics","APC_Count_IVM_Historical_Rows"
"Admin: IVM Statistics","IVM Statistics"
"Admin: IVM Well Creator","APC Choke Type"
"Admin: IVM Well Creator","APC Clear Override"
"Admin: IVM Well Creator","APC Create Flowcal Properties"
"Admin: IVM Well Creator","APC Get Engineer Area Boundaries"
"Admin: IVM Well Creator","APC Get EOT TVD"
"Admin: IVM Well Creator","APC Initial Well Real Time Apply Properties"
"Admin: IVM Well Creator","APC IVM Well Real Time Data Creator"
"Admin: IVM Well Creator","Petroleum Experts IVM Well Creator"
"Admin: IVM Well Creator","Petroleum Experts IVM Well Set Initial Configuration Values"
"Admin: Plunger URL Creation","APC Plunger Type Loader URL"
"Admin: Poll Group Processing","APC Poll Group Processing Initial Wells"
"Admin: Trucked Sites Initial Config","APC Trucked Sites - Initial Config"
"Admin: Update_Proficy_Tags","APC Check Current Proficy Tags"
"Admin: Update_Proficy_Tags","APC Update LACT Tags"
"Admin: Update_Proficy_Tags","APC Update Proficy Tags"
"Data: Calculated Datasets","APC Loading Variables"
"Data: Filter Datasets","Dataset Filter"
"Data: Hourly Cum BackFill","APC Hourly Cummulative Production"
"Data: PDB_Initial_GOR","gor_selector"
"Data: Pigging Schedule","APC Pigging Schedule"
"Data: Production Surveillance Backfill","APC Surveillance Data Backfill"
"Data: PVTT_Initial_GOR","pvtt_gor_selector"
"Data: Well Flowing Times","APC Well Flowing Times"
"Engineering: Choke Surveillance","APC Choke Schedule Backfill"
"Engineering: Choke Surveillance","APC Choke Surveillance"
"Engineering: Cum Gas Volumes","Cum Gas Volume Monthly Rollup"
"Engineering: Cum Volumes","APC Cum Volume Calculator V3"
"Engineering: Diagnostic Plot Data","APC Diagnostic Plot DataV3"
"Engineering: Diagnostic Plot Data","APC Diagnostic Plot DataV3_CHP"
"Engineering: Drawdown Flags","DrawdownFlags3"
"Engineering: Flowline Pressure Test","APC Flowline Pressure Test Analysis"
