2018/09/22 23:39:05.736 DEBUG 72 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:05.738 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:05.738 DEBUG 127 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2737; Length=173; ExpandedTo=173 
2018/09/22 23:39:05.782 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:05.824 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=118
2018/09/22 23:39:05.824 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:05.824 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:05.829 DEBUG 70 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2737); Length=21169; CompressedTo=7893
2018/09/22 23:39:05.831 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:05.896 DEBUG 96 Comm - Rx: Type=Petex.IVM.Messages.HereIsVisualWorkflowHistoryDetailsMessage ; Sender=2741; Length=748; ExpandedTo=748 
2018/09/22 23:39:05.896 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:05.897 DEBUG 135 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:05.900 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:05.904 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2739; Length=103; ExpandedTo=103 
2018/09/22 23:39:05.905 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2739); Length=111; CompressedTo=70
2018/09/22 23:39:05.906 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2739; Length=173; ExpandedTo=173 
2018/09/22 23:39:05.911 DEBUG 96 TCPServer - socket 2755 state changed to Disconnected
2018/09/22 23:39:05.911 DEBUG 96 Comm - 2755 Disconnected
2018/09/22 23:39:05.912 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=118
2018/09/22 23:39:05.912 DEBUG 96 Comm - Tx: Type=Petex.IVM.Messages.UserLoggedOutMessage; Recipient=(56); Length=8; CompressedTo=8
2018/09/22 23:39:05.922 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:05.922 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:05.924 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:05.924 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2739); Length=30762; CompressedTo=9269
2018/09/22 23:39:05.931 DEBUG 122 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
2018/09/22 23:39:05.933 DEBUG 127 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2737; Length=103; ExpandedTo=103 
2018/09/22 23:39:05.934 DEBUG 135 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2737); Length=111; CompressedTo=71
2018/09/22 23:39:05.935 DEBUG 127 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2737; Length=173; ExpandedTo=173 
2018/09/22 23:39:05.953 DEBUG 109 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2737); Length=33783; CompressedTo=10045
2018/09/22 23:39:05.969 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:05.970 DEBUG ScheduleRunHistoryWriteQueue ScheduleRunHistoryWriteQueue - Begin Processing 13 historical values
2018/09/22 23:39:05.970 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:05.971 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:05.983 DEBUG 72 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=118
2018/09/22 23:39:05.999 DEBUG ScheduleRunHistoryWriteQueue ScheduleRunHistoryWriteQueue - End Processing 13 historical values
2018/09/22 23:39:06.013 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2738; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.016 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2738; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.016 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2738); Length=111; CompressedTo=71
2018/09/22 23:39:06.031 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2738); Length=19520; CompressedTo=6470
