DEVID,FACID,ORDINAL
1A_G4_HR_COMBO,1A_G4_2_BATT1,3190
1A_G4_HR_COMBO,1A_G4_2_ECD1,2800
1A_G4_HR_COMBO,1A_G4_2_ECD2,2801
1A_G4_HR_COMBO,1A_G4_2_ECD3,2802
1A_G4_HR_COMBO,1A_G4_2_ECD4,2803
1A_G4_HR_COMBO,1A_G4_2_P1,1700
1A_G4_HR_COMBO,1A_G4_2_P2,1701
1A_G4_HR_COMBO,1A_G4_2_P3,1702
1A_G4_HR_COMBO,1A_G4_2_P4,1703
1A_G4_HR_COMBO,1A_G4_2_P5,1704
1A_G4_HR_COMBO,1A_G4_2_P6,1705
1A_G4_HR_COMBO,1A_G4_2_PAD,3040
1A_G4_HR_COMBO,1A_G4_2_SEP01,2300
1A_G4_HR_COMBO,1A_G4_2_SEP02,2301
1A_G4_HR_COMBO,1A_G4_2_SEP03,2302
1A_G4_HR_COMBO,1A_G4_2_SEP04,2303
1A_G4_HR_COMBO,1A_G4_2_SEP05,2304
1A_G4_HR_COMBO,1A_G4_2_SEP06,2305
1A_G4_HR_COMBO,1A_G4_2_SEP07,2306
1A_G4_HR_COMBO,1A_G4_2_SEP08,2307
1A_G4_HR_COMBO,1A_G4_2_SEP09,2308
1A_G4_HR_COMBO,1A_G4_2_SEP10,2309
1A_G4_HR_COMBO,1A_G4_2_SEP11,2310
1A_G4_HR_COMBO,1A_G4_2_SEP12,2311
1A_G4_HR_COMBO,1A_G4_2_SEP13,2312
1A_G4_HR_COMBO,1A_G4_2_SEP14,2313
1A_G4_HR_COMBO,1A_G4_2_SEP15,2314
1A_G4_HR_COMBO,1A_G4_2_SEP16,2315
1A_G4_HR_COMBO,1A_G4_2_SEP17,2316
1A_G4_HR_COMBO,1A_G4_2_SEP18,2317
1A_G4_HR_COMBO,1A_G4_2_SEP19,2318
1A_G4_HR_COMBO,1A_G4_2_SEP20,2319
1A_G4_HR_COMBO,1A_G4_2_T1,1650
1A_G4_HR_COMBO,1A_G4_2_T10,1659
1A_G4_HR_COMBO,1A_G4_2_T2,1651
1A_G4_HR_COMBO,1A_G4_2_T3,1652
1A_G4_HR_COMBO,1A_G4_2_T4,1653
1A_G4_HR_COMBO,1A_G4_2_T5,1654
1A_G4_HR_COMBO,1A_G4_2_T6,1655
