siteservice,facilityid,new facilityid,uniformdatacode
UIS01,ACORD_D_29_10_W,ACORD_D_29_10_PT5,D_RCAT
UIS01,ACORD_D_29_15_W,ACORD_D_29_15_PT5,D_RCAT
UIS01,AURORA_A_37_30_W,AURORA_A_37_30_PT5,D_RCAT
UIS01,BABCK_A_11N_33_W,BABCK_A_11N_33_PT5,D_RCAT
UIS01,BABCK_A_12N_33_W,BABCK_A_12N_33_PT5,D_RCAT
UIS01,BABCK_A_13E_33_W,BABCK_A_13E_33_PT5,D_RCAT
UIS01,BABCK_A_14C_33_W,BABCK_A_14C_33_PT5,D_RCAT
UIS01,BABCK_A_19N_33_W,BABCK_A_19N_33_PT5,D_RCAT
UIS01,BABCK_A_22N_33_W,BABCK_A_22N_33_PT5,D_RCAT
UIS01,BABCK_A_23N_33_W,BABCK_A_23N_33_PT5,D_RCAT
UIS01,BABCK_A_32N_33_W,BABCK_A_32N_33_PT5,D_RCAT
UIS01,BABCK_A_33C_33_W,BABCK_A_33C_33_PT5,D_RCAT
UIS01,BABCK_A_35C_33_W,BABCK_A_35C_33_PT5,D_RCAT
UIS01,BAILEY_C_10_36_W,BAILEY_C_10_36_PT5,D_RCAT
UIS01,BAILEY_C_1_36_W,BAILEY_C_1_36_PT5,D_RCAT
UIS01,BAILEY_C_1_W,BAILEY_C_1_PT5,D_RCAT
UIS01,BAILEY_C_28_36_W,BAILEY_C_28_36_PT5,D_RCAT
UIS01,BAILEY_C_2_36_W,BAILEY_C_2_36_PT5,D_RCAT
UIS01,BAILEY_C_41_36_W,BAILEY_C_41_36_PT5,D_RCAT
UIS01,BAILEY_C_8_36_W,BAILEY_C_8_36_PT5,D_RCAT
UIS01,BALDWIN_B_21_4_W,BALDWIN_B_21_4_PT5,D_RCAT
UIS01,BALDWIN_B_25_4_W,BALDWIN_B_25_4_PT5,D_RCAT
UIS01,BALLIN_A_21_18_W,BALLIN_A_21_18_PT5,D_RCAT
UIS01,BALLIN_A_22_18_W,BALLIN_A_22_18_PT5,D_RCAT
UIS01,BALLIN_A_25_18_W,BALLIN_A_25_18_PT5,D_RCAT
UIS01,BALLIN_A_31_18_W,BALLIN_A_31_18_PT5,D_RCAT
UIS01,BALLIN_A_4_18_W,BALLIN_A_4_18_PT5,D_RCAT
UIS01,BALLIN_A_5_18_W,BALLIN_A_5_18_PT5,D_RCAT
UIS01,BANE_A_27N1_9_W,BANE_A_27N1_9_PT5,D_RCAT
UIS01,BANE_A_27N2_9_W,BANE_A_27N2_9_PT5,D_RCAT
UIS01,BANE_A_28N1_9_W,BANE_A_28N1_9_PT5,D_RCAT
UIS01,BANE_A_28N2_9_W,BANE_A_28N2_9_PT5,D_RCAT
UIS01,BANE_A_28N3_9_W,BANE_A_28N3_9_PT5,D_RCAT
UIS01,BANE_A_2N1_9_W,BANE_A_2N1_9_PT5,D_RCAT
UIS01,BANE_A_2N2_9_W,BANE_A_2N2_9_PT5,D_RCAT
UIS01,BANE_A_2N3_9_W,BANE_A_2N3_9_PT5,D_RCAT
UIS01,BARA_A_16A_W,BARA_A_16A_PT5,D_RCAT
UIS01,BAT_A_28C_9_W,BAT_A_28C_9_PT5,D_RCAT
UIS01,BAT_A_28N_9_W,BAT_A_28N_9_PT5,D_RCAT
UIS01,BAT_A_29C_9_W,BAT_A_29C_9_PT5,D_RCAT
UIS01,BAT_A_29N1_9_W,BAT_A_29N1_9_PT5,D_RCAT
UIS01,BAT_A_29N2_9_W,BAT_A_29N2_9_PT5,D_RCAT
UIS01,BAT_A_3N1_9_W,BAT_A_3N1_9_PT5,D_RCAT
UIS01,BAT_A_3N2_9_W,BAT_A_3N2_9_PT5,D_RCAT
UIS01,BAT_A_4C_9_W,BAT_A_4C_9_PT5,D_RCAT
UIS01,BEDDO_C_2_25_W,BEDDO_C_2_25_PT5,D_RCAT
UIS01,BEDDO_C_7_25_W,BEDDO_C_7_25_PT5,D_RCAT
UIS01,BEDDO_D_3_25_W,BEDDO_D_3_25_PT5,D_RCAT
UIS01,BEDDO_D_6_25_W,BEDDO_D_6_25_PT5,D_RCAT
UIS01,BERRY_A_1_W,BERRY_A_1_PT5,D_RCAT
UIS01,BERRY_A_26_12_W,BERRY_A_26_12_PT5,D_RCAT
UIS01,BERRY_A_26_13_W,BERRY_A_26_13_PT5,D_RCAT
UIS01,BERRY_B_2_8_W,BERRY_B_2_8_PT5,D_RCAT
UIS01,BERRY_B_7_8_W,BERRY_B_7_8_PT5,D_RCAT
UIS01,BERRY_F_8_6_W,BERRY_F_8_6_PT5,D_RCAT
UIS01,BERRY_H_8_18_W,BERRY_H_8_18_PT5,D_RCAT
UIS01,BERRY_H_8_28_W,BERRY_H_8_28_PT5,D_RCAT
UIS01,BERRY_H_8_29_W,BERRY_H_8_29_PT5,D_RCAT
UIS01,BERRY_I_4_33_W,BERRY_I_4_33_PT5,D_RCAT
UIS01,BERRY_I_5_18_W,BERRY_I_5_18_PT5,D_RCAT
UIS01,BERRY_I_5_21_W,BERRY_I_5_21_PT5,D_RCAT
UIS01,BERRY_I_5_22_W,BERRY_I_5_22_PT5,D_RCAT
UIS01,BERRY_I_5_24_W,BERRY_I_5_24_PT5,D_RCAT
UIS01,BERRY_I_8_27_W,BERRY_I_8_27_PT5,D_RCAT
UIS01,BERRY_J_26_24_W,BERRY_J_26_24_PT5,D_RCAT
UIS01,BOOTH_B_1_W,BOOTH_B_1_PT5,D_RCAT
UIS01,BOOTH_B_7_1_W,BOOTH_B_7_1_PT5,D_RCAT
UIS01,BOULTER_B_1_W,BOULTER_B_1_PT5,D_RCAT
UIS01,BOULTER_B_41_12_W,BOULTER_B_41_12_PT5,D_RCAT
UIS01,BOUL_A_13_18A_W,BOUL_A_13_18A_PT5,D_RCAT
UIS01,BOUT_A_14_18_W,BOUT_A_14_18_PT5,D_RCAT
UIS01,BRD_A_10_20_W,BRD_A_10_20_PT5,D_RCAT
UIS01,BRD_B_15_20_W,BRD_B_15_20_PT5,D_RCAT
UIS01,BRD_B_16_20_W,BRD_B_16_20_PT5,D_RCAT
UIS01,BRETT_A_1_W,BRETT_A_1_PT5,D_RCAT
UIS01,BRETT_A_4_W,BRETT_A_4_PT5,D_RCAT
UIS01,BURC_D_14_21_W,BURC_D_14_21_PT5,D_RCAT
UIS01,BURC_D_22_21_W,BURC_D_22_21_PT5,D_RCAT
UIS01,BURC_D_23_21_W,BURC_D_23_21_PT5,D_RCAT
UIS01,BURC_D_32_21_W,BURC_D_32_21_PT5,D_RCAT
UIS01,BURC_D_35_21_W,BURC_D_35_21_PT5,D_RCAT
UIS01,BURC_D_36_21_W,BURC_D_36_21_PT5,D_RCAT
UIS01,BURC_D_39_20_W,BURC_D_39_20_PT5,D_RCAT
UIS01,BURC_D_C1_W,BURC_D_C1_PT5,D_RCAT
UIS01,CAME_B_29C_35_W,CAME_B_29C_35_PT5,D_RCAT
UIS01,CAME_B_29N_35_W,CAME_B_29N_35_PT5,D_RCAT
UIS01,CAME_B_30N_35_W,CAME_B_30N_35_PT5,D_RCAT
UIS01,CAME_B_3C_35_W,CAME_B_3C_35_PT5,D_RCAT
UIS01,CAME_B_3N_35_W,CAME_B_3N_35_PT5,D_RCAT
UIS01,CAME_B_4C_35_W,CAME_B_4C_35_PT5,D_RCAT
UIS01,CAME_B_4N_35_W,CAME_B_4N_35_PT5,D_RCAT
UIS01,CAME_C_10N_34_W,CAME_C_10N_34_PT5,D_RCAT
UIS01,CAME_C_15N_22_W,CAME_C_15N_22_PT5,D_RCAT
UIS01,CAME_C_23N2_34_W,CAME_C_23N2_34_PT5,D_RCAT
UIS01,CAME_C_23N3_34_W,CAME_C_23N3_34_PT5,D_RCAT
UIS01,CAME_C_23N_34_W,CAME_C_23N_34_PT5,D_RCAT
UIS01,CAME_C_36N_22_W,CAME_C_36N_22_PT5,D_RCAT
UIS01,CAMP_K_15N_26_W,CAMP_K_15N_26_PT5,D_RCAT
UIS01,CAMP_K_1_26_W,CAMP_K_1_26_PT5,D_RCAT
UIS01,CAMP_K_1_W,CAMP_K_1_PT5,D_RCAT
UIS01,CAMP_K_21_26_W,CAMP_K_21_26_PT5,D_RCAT
UIS01,CAMP_K_24_26_W,CAMP_K_24_26_PT5,D_RCAT
UIS01,CAMP_K_2_26_W,CAMP_K_2_26_PT5,D_RCAT
UIS01,CAMP_K_36N_26_W,CAMP_K_36N_26_PT5,D_RCAT
UIS01,CAMP_K_37N_26_W,CAMP_K_37N_26_PT5,D_RCAT
UIS01,CAMP_K_38C_26_W,CAMP_K_38C_26_PT5,D_RCAT
UIS01,CAMP_K_38N_26_W,CAMP_K_38N_26_PT5,D_RCAT
UIS01,CAMP_K_7_26_W,CAMP_K_7_26_PT5,D_RCAT
UIS01,CAMP_K_8_26_W,CAMP_K_8_26_PT5,D_RCAT
UIS01,CAMP_L_24_24_W,CAMP_L_24_24_PT5,D_RCAT
UIS01,CAMP_L_41_24_W,CAMP_L_41_24_PT5,D_RCAT
UIS01,CAMP_L_8_24_W,CAMP_L_8_24_PT5,D_RCAT
UIS01,CAM_A_23_33_W,CAM_A_23_33_PT5,D_RCAT
UIS01,CAM_B_33_33_W,CAM_B_33_33_PT5,D_RCAT
UIS01,CAM_B_43_33_W,CAM_B_43_33_PT5,D_RCAT
UIS01,CAM_L_11_2_W,CAM_L_11_2_PT5,D_RCAT
UIS01,CAM_L_22_2_W,CAM_L_22_2_PT5,D_RCAT
UIS01,CAM_L_23_2_W,CAM_L_23_2_PT5,D_RCAT
UIS01,CAM_L_25_2_W,CAM_L_25_2_PT5,D_RCAT
UIS01,CAM_L_32_2_W,CAM_L_32_2_PT5,D_RCAT
UIS01,CAM_L_36_2_W,CAM_L_36_2_PT5,D_RCAT
UIS01,CANE_A_6_21_W,CANE_A_6_21_PT5,D_RCAT
UIS01,CANE_A_6_22_W,CANE_A_6_22_PT5,D_RCAT
UIS01,CANE_A_6_24_W,CANE_A_6_24_PT5,D_RCAT
UIS01,CANE_A_6_25_W,CANE_A_6_25_PT5,D_RCAT
UIS01,CANE_B_6_12_W,CANE_B_6_12_PT5,D_RCAT
UIS01,CANE_B_6_13_W,CANE_B_6_13_PT5,D_RCAT
UIS01,CANE_B_6_15_W,CANE_B_6_15_PT5,D_RCAT
UIS01,CANNON_LAND_A_24_W,CANNON_LAND_A_24_PT5,D_RCAT
UIS01,CANNON_LAND_A_27_W,CANNON_LAND_A_27_PT5,D_RCAT
UIS01,CANNON_T_1N_9_W,CANNON_T_1N_9_PT5,D_RCAT
UIS01,CANNON_T_26N_9_W,CANNON_T_26N_9_PT5,D_RCAT
UIS01,CANNON_T_27C_9_W,CANNON_T_27C_9_PT5,D_RCAT
UIS01,CANNON_T_27N_4_W,CANNON_T_27N_4_PT5,D_RCAT
UIS01,CANNON_T_27N_9_W,CANNON_T_27N_9_PT5,D_RCAT
UIS01,CANNON_T_28N_9_W,CANNON_T_28N_9_PT5,D_RCAT
UIS01,CANNON_T_28N_E4_W,CANNON_T_28N_E4_PT5,D_RCAT
UIS01,CANNON_T_28N_W4_W,CANNON_T_28N_W4_PT5,D_RCAT
UIS01,CANNON_T_29C_4_W,CANNON_T_29C_4_PT5,D_RCAT
UIS01,CANNON_T_29N_4_W,CANNON_T_29N_4_PT5,D_RCAT
UIS01,CANNON_T_2C_4_W,CANNON_T_2C_4_PT5,D_RCAT
UIS01,CANNON_T_2N_4_W,CANNON_T_2N_4_PT5,D_RCAT
UIS01,CANNON_T_2N_9_W,CANNON_T_2N_9_PT5,D_RCAT
UIS01,CANNON_T_30N_4_W,CANNON_T_30N_4_PT5,D_RCAT
UIS01,CANNON_T_31_33_W,CANNON_T_31_33_PT5,D_RCAT
UIS01,CANNON_T_34N_33_W,CANNON_T_34N_33_PT5,D_RCAT
UIS01,CANNON_T_34N_3_W,CANNON_T_34N_3_PT5,D_RCAT
UIS01,CANNON_T_3N_4_W,CANNON_T_3N_4_PT5,D_RCAT
UIS01,CANNON_T_4N_4_W,CANNON_T_4N_4_PT5,D_RCAT
UIS01,CARMA_A_11_25_W,CARMA_A_11_25_PT5,D_RCAT
UIS01,CARMA_A_12_25_W,CARMA_A_12_25_PT5,D_RCAT
UIS01,CARMA_A_13_25_W,CARMA_A_13_25_PT5,D_RCAT
UIS01,CARMA_A_14_25_W,CARMA_A_14_25_PT5,D_RCAT
UIS01,CARMA_A_32_25_W,CARMA_A_32_25_PT5,D_RCAT
UIS01,CARMA_A_35_25_W,CARMA_A_35_25_PT5,D_RCAT
UIS01,CHADBURN_A_1_W,CHADBURN_A_1_PT5,D_RCAT
UIS01,CIZEK_A_1_8_W,CIZEK_A_1_8_PT5,D_RCAT
UIS01,CLARK_D_27_11_W,CLARK_D_27_11_PT5,D_RCAT
UIS01,COGBURN_A_2_29_W,COGBURN_A_2_29_PT5,D_RCAT
UIS01,COGBURN_A_4_29_W,COGBURN_A_4_29_PT5,D_RCAT
UIS01,COGBURN_A_5_29_W,COGBURN_A_5_29_PT5,D_RCAT
UIS01,COGBURN_A_6_29_W,COGBURN_A_6_29_PT5,D_RCAT
UIS01,COGBURN_A_7_29_W,COGBURN_A_7_29_PT5,D_RCAT
UIS01,COMO_A_13C_14_W,COMO_A_13C_14_PT5,D_RCAT
UIS01,COMO_A_13N_14_W,COMO_A_13N_14_PT5,D_RCAT
UIS01,COMO_A_34N_14_W,COMO_A_34N_14_PT5,D_RCAT
UIS01,COUF_A_34_1_W,COUF_A_34_1_PT5,D_RCAT
UIS01,COUF_A_34_2_W,COUF_A_34_2_PT5,D_RCAT
UIS01,COUF_A_34_8_W,COUF_A_34_8_PT5,D_RCAT
UIS01,DAN_DAVE_A_23_16_W,DAN_DAVE_A_23_16_PT5,D_RCAT
UIS01,DAN_DAVE_A_25_16_W,DAN_DAVE_A_25_16_PT5,D_RCAT
UIS01,DAVIS_B_12_15_W,DAVIS_B_12_15_PT5,D_RCAT
UIS01,DAVIS_B_13_15_W,DAVIS_B_13_15_PT5,D_RCAT
UIS01,DAVIS_C_9_16_W,DAVIS_C_9_16_PT5,D_RCAT
UIS01,DAVIS_D_24_16_W,DAVIS_D_24_16_PT5,D_RCAT
UIS01,DAVIS_E_20_16_W,DAVIS_E_20_16_PT5,D_RCAT
UIS01,DAVIS_H_27_3JI_W,DAVIS_H_27_3JI_PT5,D_RCAT
UIS01,DAVIS_H_27_3_W,DAVIS_H_27_3_PT5,D_RCAT
UIS01,DAVIS_H_27_6JI_W,DAVIS_H_27_6JI_PT5,D_RCAT
UIS01,DAVIS_H_27_6_W,DAVIS_H_27_6_PT5,D_RCAT
UIS01,DODE_B_33_11_W,DODE_B_33_11_PT5,D_RCAT
UIS01,DODE_B_33_14_W,DODE_B_33_14_PT5,D_RCAT
UIS01,DOUTH_I_17_26_W,DOUTH_I_17_26_PT5,D_RCAT
UIS01,DOUTH_I_1_26_W,DOUTH_I_1_26_PT5,D_RCAT
UIS01,DOUTH_I_21_26_W,DOUTH_I_21_26_PT5,D_RCAT
UIS01,DOUTH_I_24_26_W,DOUTH_I_24_26_PT5,D_RCAT
UIS01,DOUTH_I_25_26_W,DOUTH_I_25_26_PT5,D_RCAT
UIS01,DOUTH_I_26_26_W,DOUTH_I_26_26_PT5,D_RCAT
UIS01,DOUTH_I_2_26_W,DOUTH_I_2_26_PT5,D_RCAT
UIS01,DOUTH_I_8_26_W,DOUTH_I_8_26_PT5,D_RCAT
UIS01,ECKSTIN_A_9_10_W,ECKSTIN_A_9_10_PT5,D_RCAT
UIS01,ECKSTIN_A_9_16_W,ECKSTIN_A_9_16_PT5,D_RCAT
UIS01,ENGLISH_B_13N_9_W,ENGLISH_B_13N_9_PT5,D_RCAT
UIS01,ENGLISH_B_15C_8_W,ENGLISH_B_15C_8_PT5,D_RCAT
UIS01,ENGLISH_B_15N_8_W,ENGLISH_B_15N_8_PT5,D_RCAT
UIS01,ENGLISH_B_16N_8_W,ENGLISH_B_16N_8_PT5,D_RCAT
UIS01,ENGLISH_B_34C_9_W,ENGLISH_B_34C_9_PT5,D_RCAT
UIS01,ENGLISH_B_34N_9_W,ENGLISH_B_34N_9_PT5,D_RCAT
UIS01,ENGLISH_B_35N1_9_W,ENGLISH_B_35N1_9_PT5,D_RCAT
UIS01,ENGLISH_B_36N_8_W,ENGLISH_B_36N_8_PT5,D_RCAT
UIS01,ENGLISH_B_37N_8_W,ENGLISH_B_37N_8_PT5,D_RCAT
UIS01,ENGLISH_B_38N_8_W,ENGLISH_B_38N_8_PT5,D_RCAT
UIS01,ENGLISH_B_8_72_W,ENGLISH_B_8_72_PT5,D_RCAT
UIS01,FIECH_A_18_12_W,FIECH_A_18_12_PT5,D_RCAT
UIS01,FIECH_A_18_13_W,FIECH_A_18_13_PT5,D_RCAT
UIS01,FIRE_A_20_18_W,FIRE_A_20_18_PT5,D_RCAT
